iter	RMSE
190	71317.71624
191	70860.14866
192	70239.62994
193	69995.55818
194	69586.09193
195	68971.31365
196	68395.97639
197	67877.30787
198	67571.98772
199	67210.88861
200	66791.10271
201	66317.6446
202	66110.15667
203	65842.28368
204	65529.45588
205	65046.02054
206	64685.25913
207	64440.76437
208	63891.6073
209	63536.66296
210	63206.67919
211	62907.44124
212	62508.48855
213	62187.37712
214	61778.47399
215	61343.92403
216	60848.12805
217	60589.91914
218	60326.10545
219	59788.64177
220	59470.03058
221	59087.56426
222	58762.64748
223	58500.8712
224	58291.56393
225	57861.36317
226	57570.00301
227	57282.5516
228	56940.45512
229	56690.97818
230	56342.72802
231	56005.14272
232	55594.08466
233	55191.80892
234	54888.06274
235	54719.32943
236	54262.5038
237	53971.83421
238	53585.32705
239	53346.38072
240	53104.52038
241	52789.3935
242	52571.1553
243	52103.62795
244	51850.15057
245	51592.85544
246	51221.80334
247	50933.05562
248	50647.68275
249	50280.41892
250	50012.19839
251	49756.43318
252	49559.36747
253	49307.99654
254	49011.80842
255	48661.80257
256	48396.95866
257	48136.29323
258	47948.67288
259	47562.76782
260	47372.40712
261	47140.44994
262	46918.65392
263	46692.10555
264	46397.69685
265	46182.30373
266	45950.56491
267	45729.37796
268	45413.10838
269	45179.77349
270	44906.37873
271	44722.58864
272	44465.39972
273	44304.19121
274	44013.38107
275	43836.5698
276	43503.38454
277	43284.46205
278	42910.07907
279	42610.439
280	42399.73613
281	42202.43622
282	41926.11659
283	41768.95768
284	41577.61047
285	41389.53586
286	41203.06448
287	41019.75716
288	40735.93227
289	40509.35491
290	40285.43407
291	39995.88496
292	39851.44513
293	39579.73261
294	39438.22145
295	39101.34081
296	38788.98452
297	38462.18344
298	38166.00857
299	37882.72111
300	37732.81809
301	37559.15296
302	37265.94245
303	36950.75854
304	36702.69554
305	36423.92779
306	36148.53006
307	35857.59256
308	35703.23199
309	35450.45467
310	35167.26394
311	35042.39385
312	34797.79671
313	34508.60571
314	34251.60655
315	34131.19549
316	33955.54831
317	33732.76929
318	33495.93995
319	33379.3253
320	33147.25461
321	33032.74677
322	32918.34931
323	32805.60958
324	32694.13679
325	32529.26386
326	32319.72896
327	32210.94042
328	32103.37827
329	31884.35513
330	31725.84165
331	31569.12907
332	31464.84217
333	31207.26384
334	31009.89833
335	30908.60263
336	30657.91166
337	30465.48388
338	30275.70462
339	30178.03355
340	29865.54392
341	29558.79435
342	29463.99109
343	29363.03747
344	29150.5452
345	28853.46754
346	28589.18364
347	28421.13378
348	28135.31148
349	27911.03739
350	27747.5718
351	27471.23679
352	27295.63738
353	27027.69484
354	26896.42302
355	26634.87164
356	26398.55992
357	26146.05811
358	25898.63273
359	25728.62091
360	25578.75443
361	25411.43818
362	25284.76578
363	25064.71621
364	24903.14144
365	24758.22672
366	24615.21689
367	24474.08498
368	24334.80444
369	24197.34911
370	24061.69327
371	23985.99664
372	23820.82201
373	23688.32666
374	23557.56181
375	23428.50314
376	23274.81836
377	23202.69656
378	23076.51405
379	23005.73978
380	22855.44508
381	22732.06831
382	22610.29659
383	22541.84005
384	22345.48499
385	22226.79827
386	22034.79817
387	21918.6169
388	21852.97798
389	21738.79715
390	21626.09421
391	21484.23603
392	21420.74343
393	21310.53723
394	21248.2205
395	21065.84015
396	20958.42019
397	20897.74998
398	20719.9054
399	20545.15338
400	20391.33406
401	20285.70681
402	20227.66019
403	20089.90249
404	19964.00287
405	19840.29469
406	19744.30696
407	19688.46287
408	19594.01958
409	19474.40714
410	19381.90235
411	19251.17362
412	19160.15046
413	19031.95871
414	18942.38868
415	18853.92373
416	18728.53949
417	18641.48117
418	18518.52696
419	18432.84849
420	18348.2177
421	18227.95199
422	18144.65738
423	18026.7195
424	17944.73586
425	17829.08063
426	17748.38332
427	17668.66116
428	17555.5311
429	17477.05516
430	17366.11195
431	17288.85901
432	17180.0603
433	17104.00763
434	17028.86372
435	16930.42799
436	16856.39502
437	16759.74815
438	16686.80595
439	16591.91287
440	16520.04175
441	16426.86815
442	16356.04888
443	16286.06399
444	16194.77476
445	16125.80995
446	16036.16798
447	15968.20514
448	15880.17844
449	15813.19989
450	15726.75715
451	15660.7456
452	15575.85618
453	15510.79473
454	15446.48795
455	15364.36852
456	15286.877
457	15160.38819
458	15035.81618
459	14973.33805
460	14851.05497
461	14789.69877
462	14710.22966
463	14649.75465
464	14589.97896
465	14513.59738
466	14401.22969
467	14290.48869
468	14232.13775
469	14174.45969
470	14092.6381
471	13984.73187
472	13872.55124
473	13767.35381
474	13663.67753
475	13607.98448
476	13552.93528
477	13498.52164
478	13463.02137
479	13355.87705
480	13255.89486
481	13202.88507
482	13168.42453
483	13064.47663
484	12967.51134
485	12923.77261
486	12890.31423
487	12795.22542
488	12752.34617
489	12719.67701
490	12620.46995
491	12528.22746
492	12486.53217
493	12454.81464
494	12358.64807
495	12269.16737
496	12220.53517
497	12192.4305
498	12099.13459
499	12012.39088
500	11964.91426
501	11917.9342
502	11890.71788
503	11781.7331
504	11754.97994
505	11681.44801
506	11635.73096
507	11590.49314
508	11564.35144
509	11519.69877
510	11475.51465
511	11449.86689
512	11406.25466
513	11363.10059
514	11337.93746
515	11266.67403
516	11224.2357
517	11184.89795
518	11114.99651
519	11076.501
520	11007.78272
521	10983.62151
522	10942.19899
523	10904.76946
524	10820.86322
525	10738.26934
526	10656.9696
527	10576.94601
528	10498.1808
529	10408.99383
530	10321.32299
531	10233.64912
532	10185.34182
533	10101.02427
534	10018.14711
535	9942.82698
536	9921.175093
537	9869.083369
538	9817.618163
539	9760.6295
540	9739.494819
541	9688.983359
542	9609.087028
543	9559.592655
544	9488.421683
545	9456.295463
546	9407.788475
547	9359.867075
548	9306.074955
549	9274.827162
550	9227.750254
551	9181.242383
552	9106.492354
553	9060.921669
554	9009.242819
555	8979.135593
556	8934.366545
557	8874.824265
558	8824.492001
559	8772.355146
560	8708.266747
561	8651.553044
562	8588.654345
563	8554.813822
564	8497.633877
565	8441.759274
566	8409.035578
567	8376.71847
568	8322.795881
569	8304.538313
570	8273.123882
571	8255.338758
572	8224.476859
573	8193.996276
574	8146.709752
575	8096.036478
576	8079.147001
577	8049.564451
578	8033.109415
579	8004.042204
580	7975.332299
581	7929.81765
582	7882.209327
583	7866.582878
584	7838.712992
585	7805.975084
586	7778.559939
587	7751.479867
588	7719.674305
589	7693.035906
590	7662.027502
591	7618.064646
592	7588.107534
593	7558.793661
594	7527.665673
595	7499.166967
596	7468.669792
597	7440.96408
598	7417.409239
599	7394.117601
600	7367.202598
601	7344.267889
602	7321.588676
603	7295.442199
604	7273.109695
605	7251.025322
606	7225.625837
607	7203.878382
608	7182.372008
609	7161.103725
610	7132.031024
611	7107.512141
612	7075.554814
613	7051.634104
614	6998.06389
615	6945.134307
616	6931.378387
617	6879.190495
618	6860.659053
619	6830.362071
620	6813.206628
621	6796.224193
622	6779.413267
623	6749.219745
624	6726.829507
625	6710.377182
626	6694.091673
627	6638.723722
628	6584.240295
629	6530.62912
630	6481.12332
631	6434.154298
632	6382.482393
633	6345.140106
634	6299.658178
635	6263.101868
636	6205.210882
637	6148.46291
638	6126.195548
639	6070.833637
640	6049.180677
641	6003.459473
642	5994.234163
643	5983.171328
644	5938.54341
645	5929.563035
646	5885.910188
647	5877.080252
648	5834.384234
649	5825.703034
650	5783.945868
651	5775.411707
652	5766.970402
653	5728.745651
654	5717.656557
655	5677.587552
656	5640.742882
657	5632.604817
658	5594.016594
659	5586.019019
660	5561.179065
661	5550.639078
662	5526.137469
663	5506.860786
664	5487.894136
665	5477.593389
666	5453.512228
667	5421.833257
668	5403.38752
669	5372.266202
670	5354.244235
671	5323.670963
672	5312.434046
673	5287.370286
674	5253.929529
675	5233.413157
676	5203.747112
677	5179.438564
678	5159.419242
679	5135.500648
680	5097.950018
681	5078.458522
682	5055.106847
683	5026.795945
684	5004.423523
685	4982.457692
686	4964.486707
687	4943.018889
688	4921.941629
689	4901.247861
690	4883.798735
691	4863.574611
692	4841.558103
693	4819.977836
694	4793.499775
695	4772.493311
696	4736.086234
697	4717.194597
698	4704.964224
699	4669.245394
700	4650.977518
701	4639.113875
702	4604.069332
703	4586.406825
704	4559.128822
705	4541.926076
706	4512.326218
707	4485.896272
708	4456.738156
709	4427.84706
710	4402.274956
711	4373.812404
712	4345.635471
713	4317.706021
714	4289.963756
715	4265.60146
716	4238.267969
717	4211.222054
718	4184.360027
719	4160.966775
720	4134.498078
721	4108.305097
722	4082.341962
723	4059.907568
724	4034.248643
725	4008.824338
726	3994.713366
727	3969.608797
728	3944.756994
729	3931.001582
730	3906.414324
731	3882.068516
732	3859.389613
733	3837.072956
734	3815.112032
735	3793.500448
736	3772.23193
737	3751.300321
738	3730.699579
739	3710.423775
740	3690.467091
741	3670.823819
742	3651.488358
743	3632.455212
744	3613.718991
745	3595.274403
746	3577.116261
747	3559.239473
748	3542.839633
749	3526.627505
750	3511.126634
751	3495.847961
752	3478.530875
753	3461.482623
754	3444.991507
755	3430.891508
756	3416.936432
757	3400.234943
758	3386.552473
759	3366.573422
760	3346.875761
761	3330.632248
762	3314.642251
763	3298.83622
764	3279.767926
765	3264.248697
766	3248.971126
767	3233.904343
768	3219.022417
769	3204.135355
770	3185.901575
771	3171.052718
772	3153.191025
773	3138.629328
774	3126.330753
775	3108.926592
776	3091.765563
777	3077.713755
778	3063.881221
779	3052.067614
780	3035.493093
781	3022.52729
782	3010.987575
783	2998.184621
784	2985.501398
785	2972.105173
786	2958.873927
787	2947.659595
788	2935.258575
789	2924.210126
790	2911.964986
791	2900.684988
792	2888.590752
793	2877.464856
794	2865.519406
795	2850.517711
796	2835.693098
797	2824.844123
798	2806.001188
799	2795.3668
800	2784.84498
801	2766.481618
802	2756.168049
803	2745.549859
804	2735.048921
805	2717.203789
806	2706.891158
807	2696.692419
808	2686.606395
809	2676.631918
810	2659.334827
811	2647.792166
812	2637.389396
813	2620.517037
814	2610.858149
815	2601.30575
816	2591.858747
817	2575.433451
818	2566.154179
819	2556.977323
820	2546.020849
821	2536.192275
822	2520.29207
823	2511.340009
824	2502.486605
825	2487.046653
826	2478.347976
827	2469.745367
828	2461.237843
829	2447.048663
830	2432.994258
831	2418.184054
832	2409.940429
833	2401.788037
834	2388.082581
835	2380.075505
836	2366.554396
837	2356.71318
838	2343.463032
839	2333.483068
840	2320.398544
841	2307.307156
842	2297.828666
843	2285.017295
844	2275.405536
845	2261.919668
846	2252.749468
847	2239.429888
848	2230.126913
849	2216.704063
850	2207.825642
851	2194.557051
852	2185.550742
853	2172.435818
854	2163.839595
855	2150.874719
856	2138.029932
857	2129.340839
858	2116.644086
859	2108.098266
860	2095.547502
861	2087.385853
862	2074.977684
863	2066.705647
864	2054.439529
865	2046.538528
866	2034.411177
867	2026.404739
868	2014.41563
869	2006.767524
870	1994.913478
871	1987.164687
872	1975.445198
873	1968.042452
874	1956.454443
875	1948.955576
876	1937.769619
877	1930.606469
878	1919.536842
879	1912.28285
880	1901.328989
881	1894.39972
882	1883.559259
883	1868.816389
884	1861.615247
885	1854.49079
886	1843.903752
887	1829.629994
888	1822.953623
889	1816.007066
890	1809.134336
891	1798.816857
892	1788.184668
893	1777.741328
894	1767.626029
895	1758.8015
896	1752.195036
897	1742.246452
898	1733.643768
899	1727.173904
900	1720.773176
901	1711.018584
902	1701.211927
903	1695.397466
904	1685.808513
905	1680.094713
906	1667.42694
907	1661.291401
908	1651.140631
909	1645.107393
910	1639.138708
911	1633.15856
912	1621.003262
913	1615.145549
914	1605.372519
915	1599.612231
916	1592.32136
917	1583.323103
918	1573.805081
919	1569.7627
920	1565.76581
921	1561.813912
922	1557.906514
923	1554.043131
924	1550.22328
925	1546.446487
926	1542.712283
927	1539.020201
928	1535.369785
929	1531.760579
930	1528.192136
931	1524.664011
932	1521.175766
933	1517.726967
934	1514.317186
935	1510.945998
936	1507.612984
937	1504.317729
938	1501.059822
939	1491.849321
940	1482.280368
941	1472.798762
942	1463.40373
943	1454.094508
944	1444.15368
945	1438.840542
946	1433.584331
947	1430.42787
948	1427.306954
949	1418.250468
950	1409.276735
951	1404.155951
952	1401.088177
953	1392.238828
954	1383.470377
955	1378.477044
956	1375.460711
957	1366.813494
958	1361.91021
959	1356.595226
960	1353.648772
961	1350.735306
962	1345.901978
963	1343.01591
964	1340.161385
965	1331.697748
966	1323.311516
967	1315.002011
968	1306.768563
969	1302.120089
970	1299.32124
971	1291.200342
972	1286.633898
973	1283.872588
974	1275.862513
975	1267.925849
976	1261.392051
977	1258.670388
978	1255.978373
979	1253.315714
980	1245.505247
981	1237.766366
982	1231.955526
983	1224.326388
984	1218.615446
985	1214.358143
986	1211.764154
987	1209.236499
988	1201.756419
989	1196.193967
990	1190.510522
991	1183.793852
992	1179.69708
993	1177.234758
994	1174.799953
995	1172.39236
996	1166.492705
997	1159.951507
998	1157.595502
999	1152.273253
1313
